name,position,jerseyNumber,averageX,averageY,pointsCount,type,injury,id,time,incidentClass,reversedPeriodTime,subbedIn
Mohamed Salah,F,11,71.293103448276,34.203448275862,29.0,home,,,,,,True
Cody Gakpo,F,18,67.45,72.075,8.0,home,,,,,,True
Alexis Mac Allister,M,10,51.890476190476,46.853333333333,105.0,home,,,,,,False
Dominik Szoboszlai,M,8,57.625581395349,65.158139534884,43.0,home,,,,,,False
Darwin Núñez,F,9,61.003125,41.225,32.0,home,,,,,,False
Andrew Robertson,D,26,67.34,76.245714285714,35.0,home,,,,,,True
Caoimhin Kelleher,G,62,12.516216216216,44.593243243243,74.0,home,,,,,,False
Jarell Quansah,D,78,35.120353982301,28.198230088496,113.0,home,,,,,,False
Virgil van Dijk,D,4,33.857843137255,60.730392156863,102.0,home,,,,,,False
Joe Gomez,D,2,46.746835443038,63.59746835443,79.0,home,,,,,,False
Harvey Elliott,M,19,61.422388059702,24.625373134328,67.0,home,,,,,,False
Conor Bradley,M,84,49.120634920635,15.214285714286,63.0,home,,,,,,False
Luis Díaz,F,7,66.501234567901,73.256790123457,81.0,home,,,,,,False
Wataru Endo,M,3,44.752941176471,54.282352941176,85.0,home,,,,,,False
Ederson,G,31,9.9297297297297,53.535135135135,37.0,away,,,,,,False
Erling Haaland,F,9,59.93,49.253333333333,30.0,away,,,,,,False
Kevin De Bruyne,M,17,62.00243902439,43.831707317073,41.0,away,,,,,,False
Stefan Ortega,G,18,9.925,52.3375,40.0,away,,,,,,True
Mateo Kovačić,M,8,49.720512820513,58.928205128205,39.0,away,,,,,,True
Jérémy Doku,F,11,65.11,73.735,20.0,away,,,,,,True
Bernardo Silva,M,20,49.309722222222,53.011111111111,72.0,away,,,,,,False
Rodri,M,16,44.272932330827,46.821804511278,133.0,away,,,,,,False
Julián Álvarez,F,19,62.459183673469,76.702040816327,49.0,away,,,,,,False
Phil Foden,M,47,63.381034482759,23.101724137931,58.0,away,,,,,,False
John Stones,D,5,36.822972972973,53.708108108108,74.0,away,,,,,,False
Manuel Akanji,D,25,31.564285714286,42.959523809524,84.0,away,,,,,,False
Nathan Aké,D,6,40.244086021505,82.403225806452,93.0,away,,,,,,False
Kyle Walker,D,2,42.145744680851,23.809574468085,94.0,away,,,,,,False
