name,home,away,statisticsType,period,match_id
Big chances,3,2,positive,ALL,11352588
Big chances missed,2,1,negative,ALL,11352588
Hit woodwork,0,1,negative,ALL,11352588
Counter attacks,2,1,positive,ALL,11352588
Counter attack shots,2,1,positive,ALL,11352588
Shots inside box,11,5,positive,ALL,11352588
Shots outside box,8,5,positive,ALL,11352588
Goalkeeper saves,5,5,positive,ALL,11352588
Goals prevented,0.56,0.99,positive,ALL,11352588
Big chances,0,1,positive,1st,11352588
Big chances missed,0,0,negative,1st,11352588
Hit woodwork,0,0,negative,1st,11352588
Counter attacks,1,1,positive,1st,11352588
Counter attack shots,1,1,positive,1st,11352588
Shots inside box,4,2,positive,1st,11352588
Shots outside box,3,5,positive,1st,11352588
Goalkeeper saves,3,1,positive,1st,11352588
Big chances,3,1,positive,2nd,11352588
Big chances missed,2,1,negative,2nd,11352588
Hit woodwork,0,1,negative,2nd,11352588
Counter attacks,1,0,positive,2nd,11352588
Counter attack shots,1,0,positive,2nd,11352588
Shots inside box,7,3,positive,2nd,11352588
Shots outside box,5,0,positive,2nd,11352588
Goalkeeper saves,2,4,positive,2nd,11352588
